A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T
90.78031712,67.59206129,76.83261464,74.95937148,81.82112352,20.5769107,7.451772268,18.16535134,2.212720482,20.67367371,6.985027794,13.39704812,23.80023973,0,0,1,1,0,1,0
85.59844423,62.78673398,81.92361688,80.49552557,80.62503303,39.52366051,17.44606243,17.0191233,18.90645331,13.81010869,9.310312753,9.158540829,14.87206899,1,1,0,0,0,1,0
88.4588888,64.57418578,83.16100395,85.61491485,87.59112745,50,19.95215174,14.20327903,11.16302243,14.48242699,24.17434586,16.76501953,16.08329344,0,1,0,1,1,0,1
84.14895421,84.87923098,83.10214654,84.82302628,80.41338051,44.95545855,30,18.47129989,17.95980881,24.37199108,10.33934496,20.35356667,4.509443195,0,0,1,0,0,1,0
74.55850134,93.15265749,76.74767449,75.65779956,85.38332386,26.45664639,18.79129345,5.154269542,18.84853309,16.72551325,6.840669859,16.27203392,22.33236498,1,0,0,1,1,0,1
78.66894772,66.76493279,81.70260001,72.60486668,80.21006416,28.79396392,8.960923528,14.91776093,10.43567385,19.11530742,19.98417728,11.871222,22.74575,1,0,1,1,0,0,0
86.1375108,79.18217083,84.88817848,67.9514338,79.40926497,33.25783876,27.53225951,24.08600293,13.51789982,10.27944732,5.913313947,18.25988172,22.26705001,1,0,1,0,0,0,1
78.61811307,66.06430554,79.67312849,86.5060232,72.09408641,41.54622116,9.094302944,18.20117223,16.62419757,11.52820399,10.77016288,22.25428541,13.21384755,0,1,1,0,0,1,1
75.20271121,79.26027512,83.77079556,73.50821469,66.59560397,29.95785164,8.714162587,14.49630484,9.231399351,8.82818577,16.10784686,18.55369881,15.31628322,1,0,0,1,1,1,0
84.44827308,68.6216848,82.22854795,76.83191487,85.3144667,33.34253662,18.5172653,9.877066501,16.78773595,15.14224159,13.98533402,14.99478819,19.49816688,1,1,1,1,1,0,1
86.81389156,75.62243136,78.55652547,86.03660944,80.3368406,28.09098433,25.7741367,11.38609571,18.31596842,19.70654987,25,19.37003621,16.96027658,0,0,1,1,0,0,0
61.66294015,85.90240383,85.51548112,71.21215443,85.53075758,45.10936207,14.21789431,20.28460224,19.79343167,23.84130301,13.49751372,15.72655091,25,0,1,0,0,0,0,0
77.12570692,75.9395235,92.26718866,81.99406299,78.2468239,45.79339778,30,16.01302235,19.76755975,25,9.051343453,16.60480766,14.58755251,1,0,1,1,1,0,1
94.36294293,91.57925835,96.78018117,76.05910942,86.47058805,45.05930627,30,16.53894281,18.50543981,22.02037803,25,15.01318484,14.64976594,1,0,1,1,0,1,1
74.53228277,99.71910104,76.42995874,80.05780641,71.14124271,31.4847165,27.28731517,4.91001631,16.53808204,18.97513511,25,25,13.80759114,0,1,0,1,0,1,1
81.07905659,80.86014795,83.59800258,79.33279984,85.52994128,30.43134967,30,18.39210482,15.25154842,16.49914462,8.658076753,10.60292079,16.7012365,1,1,0,1,1,1,1
86.13961578,73.66651009,73.77553855,86.1554905,81.31777894,26.8732506,11.31633567,13.10263261,14.9759792,25,25,19.86105368,22.59466842,1,0,1,1,1,0,0
83.08770853,69.35304717,92.10903538,76.22047195,71.91566712,36.79378832,30,17.08886849,20.69109793,22.25503811,20.4196862,18.66604771,18.9086298,0,0,0,1,0,1,0
79.40733184,65.38009967,74.34781412,76.9225424,81.36395077,38.21110547,18.30335256,25,10.98699397,25,3.540897142,23.11537557,13.20361614,1,0,1,1,0,1,1
85.12630233,80.97921553,72.70568821,77.59953,78.50662355,31.37672275,21.73378563,20.76202863,20.5761636,22.86323756,11.21680522,15.65955457,16.57442285,1,0,1,1,0,1,1
74.45894496,96.4805802,76.79538519,65.79834851,69.98984883,37.93673245,30,12.18203287,7.862098608,21.99977678,19.09833089,14.05810645,23.12799751,0,0,0,0,0,0,0
79.96409554,85.88608586,97.66604509,83.83437072,74.25088069,25.58174342,26.06610574,18.99815093,17.31328651,19.04030399,16.20274758,16.42623,9.305356633,0,1,1,1,0,0,1
86.05151296,70.50411651,87.72135918,86.36483768,75.81280016,50,4.627475206,12.02605451,13.71879849,14.45705877,20.05557084,17.74026719,17.51636459,1,1,1,0,1,1,1
73.35194543,79.07915553,90.56051182,81.8318544,84.43375832,50,24.00746832,13.08646793,22.89929397,17.7604124,14.80294191,15.63810194,13.37389569,1,0,0,0,1,1,1
81.67249966,78.88669544,87.28604965,78.24832815,75.26933396,32.62601827,21.24214192,18.32775779,24.10467508,16.44093053,24.6429564,25,18.37854615,1,0,0,1,1,0,1
78.76814199,71.38347472,81.56225547,80.46841809,80.93037744,34.75780293,13.29944931,19.10122404,14.730481,15.63362245,1.001875956,16.03171486,17.6230938,0,1,0,1,1,0,1
85.29951837,75.24912809,85.41135204,84.13753185,76.0573074,26.0816442,18.88450686,17.66773389,19.75451209,21.9554037,3.04832441,15.16215102,18.51741372,1,0,0,0,1,0,0
98.45802987,73.25075603,90.24342293,83.62976875,77.91845587,37.80999357,23.49685527,24.27274853,12.4415288,22.54428737,19.05675916,11.22763254,12.60189163,0,1,0,0,0,0,0
77.32382468,98.67872012,79.63977469,75.3573738,88.18735228,38.82692778,15.37117381,18.66238446,13.90618308,25,25,21.62716056,23.42582975,1,1,1,0,1,0,1
77.04440546,70.0413038,86.68613669,88.17091331,79.9716004,39.60995192,28.20111051,11.08219153,7.941241331,13.21541825,10.18993964,12.25203178,18.64870452,1,0,0,1,0,0,1
81.46478143,67.96564812,78.51808271,80.8771346,80.9547963,42.45466489,20.48605722,5.690932252,15.03546136,20.66038367,25,19.65386659,18.06617057,0,0,1,0,1,1,1
77.4174349,70.51059007,74.32010559,73.95097508,78.21412875,37.32868508,29.97029885,20.27319509,12.19552766,17.5113209,21.60368513,25,19.64398935,1,1,1,0,0,0,1
85.21283704,87.95700289,85.5709036,78.83098903,82.69038891,26.38082312,12.4035278,12.15497996,15.77800649,22.18975782,17.07351961,16.93426155,18.94236121,1,1,1,1,0,0,0
90.78127762,76.64915524,83.9345,77.07742055,78.93429718,47.07311324,29.76458755,21.36491767,15.83218937,1.416332892,25,24.65656679,19.42069719,0,1,1,1,0,0,1
77.70149659,82.24117834,89.32152527,70.78785351,80.00048231,10.74291469,23.17424075,18.26565581,16.72414614,19.61706669,25,21.21908145,11.87930338,1,0,0,1,1,0,1
69.48842513,80.75038023,92.24925637,79.42551869,79.1663983,33.30566718,24.74947674,21.7927389,25,19.29665899,25,15.22562496,15.37470937,0,1,1,0,1,1,1
84.56805575,77.75885101,100,75.46934721,88.09008893,31.43931339,23.02190481,9.521912088,22.51445207,22.82529907,12.47366892,22.18940948,15.89861209,0,1,1,1,0,1,1
75.40899645,87.58093978,92.80156292,78.73470904,81.45304192,36.41751051,6.885478555,15.21968462,14.53974882,10.16342561,20.11752943,18.09992488,21.76982384,0,0,0,1,0,1,0
82.38990347,64.0869348,78.80655737,81.45181904,71.06267685,21.80851963,10.89941621,22.29369094,20.50688084,20.84001021,22.95681979,8.959944912,16.35248809,1,0,0,1,0,1,0
91.25467406,73.29284545,99.22412779,77.04420625,78.50371745,40.4510288,30,7.3254606,14.40747745,17.92765055,8.359707984,22.42659446,25,1,0,1,1,1,1,1
75.29643452,93.94155256,93.33842133,78.4957248,79.05028565,19.36391164,12.3318031,5.802943458,11.87514701,12.22984732,17.88419376,15.48863195,20.98600637,0,0,0,0,0,0,0
77.67923224,71.6532767,99.93493131,74.45413924,78.98284937,30.59925442,19.23986253,15.40519466,19.52214238,12.50639754,12.06815185,13.67468897,16.58248027,0,0,1,1,1,0,0
76.25155573,64.61356074,89.99569108,86.89347641,76.95721959,39.68214179,0.879008621,12.60432797,10.33456243,16.8597802,16.50085097,15.64916028,17.09305246,0,0,0,0,0,0,0
95.8540227,69.657834,96.89307665,81.73773927,83.36664161,39.9183385,15.50337855,21.52072136,6.637065837,21.35879362,10.84664121,18.54197401,21.11413922,0,1,1,0,0,1,1
82.95333057,84.94197617,88.37064855,73.34658157,72.15130676,31.40007424,21.23613203,15.94767348,24.56148199,25,25,15.01296531,25,0,1,1,0,0,1,1
87.24667111,92.46813557,89.39880087,75.56989189,78.62168636,41.78542336,12.12272257,2.001607327,17.5754131,17.32553506,24.35370332,25,13.90756843,1,0,0,0,0,1,0
96.09177523,79.43152249,85.98447088,74.05335588,82.31659343,43.91458501,26.84854039,23.66238814,20.00273433,17.47488122,24.81071875,15.79816552,21.47153826,0,1,0,0,0,0,0
78.98457807,69.06815051,91.44577999,71.37048487,75.17593945,23.71822566,20.44195882,19.56558321,15.36475329,25,25,16.4697628,21.83362964,0,1,1,0,0,0,1
86.33727453,55.43933629,95.52577447,77.79391159,71.67208936,24.8894801,0.134799833,15.86152522,21.00428059,20.82796166,14.05559065,14.44177724,11.86243611,1,0,0,0,1,0,0
85.25406304,73.52441753,84.72270779,80.8055527,78.70929273,34.36383451,9.69149184,18.31059362,11.84919718,19.23743427,23.02982739,19.44934831,17.53952202,1,1,1,1,1,1,1
76.5986026,90.17953847,86.87527339,83.41043737,69.92214915,19.28721514,14.2462487,20.0362185,10.48927483,25,8.394161754,9.563789385,15.03117191,1,1,1,1,1,0,0
80.13561264,74.06110952,84.710377,76.48089636,80.35221526,39.24938995,5.666360643,6.279266532,1.163594921,21.79543135,25,25,16.64088433,1,0,1,0,0,0,1
73.11194231,57.20449004,79.97140651,87.72874651,73.54249807,32.82319114,9.405274608,10.78373913,12.0574977,11.98611681,18.23504299,14.04949733,18.20153852,1,1,0,1,1,0,0
81.85683061,68.23837568,78.6327316,74.6547995,83.92200814,43.15203349,21.4121168,17.50877769,12.29877475,23.09117063,25,15.50413951,17.18667774,0,0,1,0,1,1,1
86.59660378,81.76586649,86.20789818,67.03137828,71.89299768,28.90167222,22.42303552,18.34823875,22.86785606,16.0369103,15.37849349,25,10.5843974,1,0,1,0,0,1,1
85.72581323,75.36805318,94.53370338,72.36393388,77.18308674,27.28165979,13.9641078,16.48066559,11.05158129,18.71646143,20.25643367,15.67404963,9.298362298,0,0,0,1,1,0,0
84.60245741,67.04857479,85.7446858,81.58032025,85.0049345,45.19474465,28.45009129,13.14761576,12.25036027,18.72477013,15.8891958,14.79604819,20.23662631,1,0,0,0,1,1,1
72.44123822,76.60485949,85.05300743,81.57595434,70.27501383,22.55109784,14.8586603,17.4128603,15.87553232,25,25,16.19165056,23.91084426,1,0,1,1,1,1,0
69.60178698,73.71840013,85.49895756,87.06258858,75.81790045,24.22890405,16.95122586,13.10222011,11.35576887,14.32975234,22.11310215,25,15.99650848,1,0,0,0,1,0,0
84.96826947,79.14744309,90.93235796,85.20210954,73.20629002,36.66686106,14.96698519,11.41347431,10.59206272,18.52347313,8.815817094,19.64925387,11.42315102,0,1,0,0,1,1,1
83.72075385,68.26694429,87.12335858,80.91221519,81.37947241,25.58622692,10.48207838,11.77507359,14.65759892,12.3942737,24.53890596,10.37344858,14.57896103,0,0,1,0,0,1,0
78.50372195,47.30312185,76.0310422,89.74703705,90.15198555,30.49151493,5.660772189,11.50783311,25,20.22814335,16.45239228,15.16462771,14.91972694,0,0,0,0,1,0,0
88.06232157,59.48328771,85.4155556,71.87530222,81.19236649,31.41415855,20.25982156,22.15084308,22.36726995,14.81938755,18.93622388,14.20123693,20.57277441,1,1,0,0,1,0,0
74.13110921,84.79305129,85.64620673,74.98779106,75.7157484,37.11785318,6.156494238,24.60433408,14.95344176,19.51172948,2.896786949,22.46732605,17.43546132,0,1,0,1,1,1,1
71.71559834,58.74270402,86.11209249,81.24565185,78.77789957,26.04806299,22.08826898,21.77952532,14.09012872,1.455692839,25,11.46651058,11.71363213,1,1,0,1,1,1,0
85.3469079,61.78170774,86.19671124,79.64449615,72.18666604,36.05702304,18.63547127,21.65709093,14.71696264,15.58593591,10.19789525,20.69942334,23.91342201,0,0,0,1,0,0,0
91.83965477,74.55911172,70.91038315,70.31947483,81.02578292,45.32537905,8.769499493,20.31135852,18.03920359,19.27759521,25,14.6732642,17.79747165,0,1,0,0,0,1,0
90.88755154,72.53270981,77.38745646,84.40204299,81.76892003,50,21.90439744,13.37945036,15.69785469,25,20.83925745,21.49212713,16.49220239,1,1,1,0,1,1,1
82.48023169,74.99485972,81.05317519,84.21740895,87.09116596,23.41520704,5.792393199,10.60780445,24.36869464,6.30021329,7.302206957,17.70059939,20.49823416,0,1,0,1,0,1,0
87.1272507,80.28124043,78.08325426,71.0555814,88.32330132,24.95117786,30,11.95648563,19.44391156,16.58934467,13.87060859,8.573649009,21.75651839,0,1,0,1,0,1,1
79.12891476,72.95851671,85.1716093,65.21892226,75.90090086,41.73461449,29.29563732,18.98783183,18.18548646,15.91778609,18.98078303,20.62535056,19.4017897,1,0,0,1,0,1,1
79.45642396,57.07713441,81.58211079,77.22711819,80.83989983,25.22511596,20.67831979,13.71649272,19.89104292,10.59011573,6.925038371,17.4823211,12.34675821,0,1,0,1,0,0,1
85.84963581,56.62133651,91.59137445,75.97931936,90.63039104,42.83245718,14.12945542,13.64233215,11.09515253,17.27345189,19.7220251,15.27254609,16.75581564,1,0,1,0,0,1,1
82.63078392,68.36915803,81.33745166,73.11863349,76.46323312,43.37925806,18.37857632,25,13.39373993,20.55143079,14.66096984,18.92460836,10.77186849,0,0,0,0,1,1,1
79.04312087,84.28545958,93.63888114,83.12071027,78.65162023,33.49910331,30,13.18202437,23.42177428,25,23.69421024,9.468867024,24.04015665,0,1,0,0,0,1,0
81.50835299,68.93213716,82.06188549,85.17908569,88.39689375,36.88849297,18.54064981,20.44394414,25,21.59937916,23.60088265,25,15.87396362,0,0,0,1,0,0,0
84.30783817,77.46616158,93.83515585,86.37907184,73.54127842,44.55726589,11.15982905,18.43377892,14.66266522,12.26404452,23.2937364,9.200275184,14.63654827,1,0,0,0,1,0,0
88.01698832,66.30495415,93.9836508,75.37952763,83.59535272,28.91227522,29.49657213,20.09715104,19.02939248,10.16023118,17.53924523,21.66075811,14.60522842,1,1,0,0,1,1,1
84.99679546,74.42462329,77.36844683,81.49850893,77.09952631,41.55828662,29.29106858,15.43067014,18.2122586,19.80499219,9.03450368,19.88925398,17.0526259,0,0,0,1,1,0,0
100,81.76444811,96.96420025,82.14786077,89.0662799,44.81006153,28.16114393,8.771556794,25,11.77583005,25,25,25,1,1,0,1,0,1,1
91.67206093,69.89901149,93.86731468,77.95846902,75.30623882,38.27608822,11.0450571,8.154784836,9.89746965,23.94135307,14.38262088,23.54484161,20.07980592,1,0,0,0,0,1,0
93.3751085,52.96342726,92.39592385,78.03655772,83.70829934,49.56793447,30,7.466928896,11.52510711,21.66252489,14.72160309,17.50158822,20.0034822,0,1,0,1,0,0,1
78.52136285,56.50728313,74.11297808,85.52637263,77.54889915,38.60282149,12.93336609,14.79921494,10.54121977,25,15.76033381,16.75877828,17.79451484,0,1,1,0,0,1,1
91.71352947,78.70900443,82.31664061,76.12349537,76.80539247,30.71159081,4.901932187,18.30605989,11.24833378,17.03769771,21.00457624,15.91884953,17.60049126,0,0,0,1,0,1,0
88.36539505,70.81010531,93.89167453,80.72456419,76.10241619,41.76606311,22.06946675,24.39621443,10.82407935,21.53221056,14.87262088,25,20.07263515,0,0,1,1,1,0,0
80.18212378,77.58029929,77.22978354,76.18922979,74.89061066,9.054085636,20.93345797,13.57127071,16.83936351,25,21.43817625,14.4032018,24.88792988,1,0,0,0,1,0,0
76.67776724,89.15310946,77.62827665,76.07463025,70.32329902,24.29926874,29.42375429,9.140860921,10.70117918,20.21065383,23.78017977,19.17760677,21.51064964,0,0,1,1,1,1,1
75.70608612,77.7310487,90.4715274,78.66190511,76.17771864,38.36272611,16.40882348,17.14055689,12.06973794,23.76231881,18.3009102,20.25249345,9.655695502,1,1,0,0,1,0,0
90.2667501,68.94416429,96.55216883,77.95414188,78.57094268,30.81849541,15.85442181,19.21036432,22.38847336,22.14548868,17.79931582,21.15822472,20.45067335,1,1,1,0,1,1,0
67.51967657,87.97521359,83.42149581,79.17579867,86.20143085,27.40246993,13.45283208,25,13.24260508,22.16918986,16.47974042,15.8464168,11.14793236,1,0,0,0,1,1,0
88.44299448,80.15513812,92.94527788,74.02609305,81.8231438,40.8027159,26.84203208,8.810300791,12.0671415,21.60315573,9.653494794,14.11515559,25,1,1,1,0,1,1,1
84.85390253,48.49946833,92.52111426,66.63643745,81.05120192,24.00594239,4.87464511,9.960116886,17.79478732,20.9405373,24.45767787,16.61475452,16.72407737,0,0,1,0,1,1,0
73.48557516,60.52896307,100,80.61680632,67.01235532,37.84146189,10.680722,17.67564997,7.642169965,16.23056535,14.67971089,20.2433088,24.64560167,1,0,1,0,0,0,0
88.66846013,88.76566643,83.65658099,80.46119908,68.7910786,26.81286075,19.15489095,16.02607414,10.52128349,25,18.40779936,12.68339697,21.02624248,0,1,0,1,1,0,1
85.04000039,74.27715377,72.31695832,82.24951199,73.79334188,22.13838545,30,14.60808017,12.71858094,24.49786159,24.20644765,21.05395168,15.33193433,1,1,1,0,0,1,1
81.94895477,74.67074787,82.19542275,82.8278737,80.26728756,36.10137188,17.89346021,16.59019746,16.77415225,25,22.72442594,15.94737867,21.64089802,1,1,0,1,1,0,1
92.94376053,63.97844903,86.11750119,70.82640893,74.60146077,46.51214132,5.794491823,13.92347899,19.75606514,11.7769106,22.44145536,17.60168599,23.55261482,0,1,1,0,1,1,1
73.69548353,69.19444063,75.01815778,74.61766691,69.50143933,25.73261049,15.97881551,11.51071234,13.18694057,23.95162601,7.543593472,12.76947181,12.58582414,1,0,0,0,1,0,0
88.96865826,87.74148282,98.19617199,69.23526328,72.7048237,39.81245541,27.64439283,19.70165922,19.51425733,9.641986582,17.46056346,14.84447623,18.82673522,1,1,0,0,1,1,1
98.67449704,67.52169296,96.90244343,87.26072267,77.17673818,44.2386642,11.52184855,23.61784608,14.20464947,3.803559951,25,21.74131165,15.15346264,0,0,0,0,1,0,0
79.74968733,73.99599446,83.40622833,69.70267816,86.69765243,39.14958082,19.3547237,19.92769442,15.41221783,11.793322,16.32769507,23.52008337,25,1,1,0,0,0,1,0
81.11791103,77.22036999,72.3292999,74.74780226,76.69073515,43.87874852,27.27341753,14.61235181,14.40073754,25,24.76278959,18.9939462,18.06417051,1,0,1,1,1,1,1
73.44903125,85.84812323,85.1348296,84.61009193,79.24561609,35.48040777,7.474456109,11.68461407,18.77291687,13.53350889,19.29200129,13.39022695,12.86907523,1,1,1,1,1,0,1
78.74923536,63.33109598,100,79.2408497,74.12222911,27.16946708,10.47180682,7.576838023,14.38244347,6.578463749,9.800888496,9.859564565,22.37067441,1,0,0,1,0,1,0
71.71069673,64.31025391,92.38008794,75.65620729,76.64062006,21.80066033,13.64989271,18.86275253,16.10991161,16.19499731,20.07733826,24.28863582,12.22261203,0,1,0,1,0,1,0
76.91183387,78.52832969,77.08133027,71.51893765,75.40457345,35.37407435,15.75816399,15.92743399,19.0975056,21.9836286,14.09010689,22.66239378,17.30894647,1,1,0,1,0,0,1
86.36154891,68.72334451,85.3201591,87.26771531,78.66401401,40.06909695,19.24300662,14.40730176,17.54755778,23.29476514,19.10062782,18.29027163,18.0669318,1,1,1,1,1,1,1
73.93581197,57.44506128,84.3029695,85.72628603,79.47244541,13.1141438,15.08843339,21.35380349,11.12134395,13.28541061,16.91025637,20.00274692,18.27219779,0,0,0,1,1,0,0
95.7802043,69.8586159,86.41877341,68.92387862,78.59262957,43.21502356,26.50845924,15.78847702,23.2681153,5.522547194,14.60893759,20.54998925,18.88575944,1,0,1,1,1,0,1
80.99079347,71.0146769,74.87212316,77.76740287,79.94476072,21.43762034,30,18.54928623,25,19.38554108,21.14239839,12.16543523,20.83027404,0,1,0,1,0,0,1
74.16273215,74.01072029,88.62116803,72.42743232,78.88356012,43.24271457,26.36565812,11.4566437,21.14368099,17.10547051,14.60097811,18.13148942,23.25062776,1,1,1,0,0,0,1
89.47398203,82.58258485,88.11769736,94.39947294,75.70749156,50,21.63558729,5.552841101,18.15587904,2.202678425,11.69640569,10.70945042,13.80246901,1,1,0,1,1,1,1
94.34443249,81.3918594,74.15105883,74.12726486,72.22900338,37.14734425,20.21669694,10.72947884,15.31365854,21.7708838,17.04057588,21.71304058,21.57535594,1,1,1,1,1,0,1
78.6409311,75.10273493,89.20487336,71.93060245,79.05695183,20.77435413,22.90442093,9.155264975,19.00508198,17.61409154,20.85742301,13.0781822,7.981624323,1,0,0,0,1,1,1
67.67410058,87.01439311,82.05042732,77.43471141,81.97707753,40.56001173,10.57535331,24.01466903,6.921025485,24.52651574,12.14285886,13.24100226,20.13609598,1,0,0,1,1,0,1
85.06468971,73.0423732,76.87292663,75.26915348,71.02022328,38.61630677,26.64438232,11.18318749,20.0156065,9.781815461,24.82076877,18.8558414,19.37991629,1,0,1,0,1,0,1
74.01799754,81.35830236,85.42310705,79.30350847,84.64072997,40.68381979,14.50700715,9.02794517,24.75325461,20.83085557,15.73259534,19.17763498,10.50417738,0,0,0,1,0,0,0
84.89087711,59.66936106,75.56757003,82.77801763,67.38511753,37.2763353,14.33034505,16.77994039,19.16654637,17.85672457,25,25,10.77652239,1,0,0,0,1,1,1
82.34615979,49.4262559,92.52322335,81.02826619,82.48404043,37.0282396,23.1881765,13.15626285,21.34862033,21.12565569,18.96875793,25,18.90542173,1,0,1,1,1,1,1
87.6952365,65.27571955,90.482204,65.46054811,83.04385074,21.36278125,8.1499023,15.73658074,17.79472022,19.6229633,23.01799699,21.27919258,16.39174597,1,0,0,1,0,0,0
84.11881561,54.05803744,75.02113388,91.26817146,85.31052347,25.53566943,3.634733916,17.78574128,21.19940226,19.42596296,25,19.28277543,22.56475389,1,1,1,0,1,1,0
90.16851881,99.00436836,87.63781681,73.88765619,80.05039706,22.88198866,16.26644614,17.04002596,13.5933963,10.34631281,21.11857336,16.61547758,20.74491789,0,0,0,0,1,0,0
67.93412774,53.63951136,85.88785236,85.73654357,80.13776375,45.87670708,8.114293454,15.634454,11.48940119,22.69026784,16.80501847,24.13085044,13.81825902,0,0,1,1,1,1,0
87.6914917,82.47589827,72.00757518,84.77988903,80.62290309,24.04457495,14.67800649,16.67760114,20.24410446,25,25,7.781412815,11.55042561,0,0,1,0,1,1,0
81.94975339,70.25554374,80.52799168,74.80085655,75.62289926,24.99444021,30,7.417237234,18.81043962,25,19.13110583,25,12.85616701,0,0,0,1,1,0,0
86.97014156,72.93911189,72.92181333,67.04264639,76.63865814,39.91407739,17.71022197,19.33866127,17.71030331,9.688751991,24.08021288,19.50296141,18.69570423,1,1,1,0,1,0,1
87.78775759,52.09825423,79.93797077,74.50227404,80.4242299,23.78932695,17.33919922,19.5934863,20.87667998,18.53422971,21.18609431,24.99422485,22.94113451,1,0,1,1,1,1,0
81.319306,68.71525243,91.38733583,83.05393374,84.66570751,30.64879846,17.8878422,16.57389561,12.38350619,17.29543275,25,18.75267294,23.33782761,0,1,1,1,1,1,0
67.151816,57.14595747,85.40333256,75.97577378,86.19392762,50,16.04650686,20.6705905,25,14.4456536,2.83271758,14.79085461,12.5226878,1,0,0,0,0,1,0
74.77882511,61.8317497,83.90579933,72.29811132,79.15713818,39.26571912,21.64391982,23.25717774,20.48370826,19.67096106,15.97020249,10.81074461,25,1,1,0,1,0,1,0
80.15280608,62.2345374,76.84844876,87.44745779,80.93714337,50,7.174211699,21.08766069,23.15834742,17.0146722,9.158015572,17.86074524,15.31604539,1,1,0,0,0,1,0
82.5418283,77.96453698,77.17990279,79.23455616,82.92239865,7.852424622,24.13308578,7.51941119,15.50642648,19.80626911,25,17.35220061,21.43559246,1,0,0,1,0,0,1
90.46641181,65.24195077,73.27489644,78.14775422,84.56500954,34.53642317,10.57009047,7.093426883,10.02779968,21.38613144,22.88380497,16.18503627,23.75896765,0,1,1,1,1,0,1
92.37969374,78.16909987,90.35709822,66.01643165,83.33153332,36.81128502,30,11.01349461,15.7319448,23.11049243,18.02003419,7.115166685,25,1,0,0,1,1,0,1
89.74415677,82.16426734,74.14552746,72.04617227,80.01116205,36.25262251,4.188372083,20.62718798,16.57273916,18.89373519,25,19.04355216,18.31995648,0,1,1,1,0,1,1
85.68231379,73.53531136,93.52903359,79.80491481,80.43503248,39.04302921,14.88126989,13.66458618,15.90238142,5.403215747,6.771302971,17.77170557,14.2134569,0,1,1,0,0,1,1
76.3470772,84.59306606,93.75037043,71.90533139,77.70414535,43.32739279,25.67954559,18.7563135,17.79077603,25,14.3000686,11.48111913,11.51463753,1,0,0,1,1,0,1
88.70806049,52.96454178,91.56302622,82.28159886,81.61306841,23.79539506,25.82290044,16.49710086,15.15668391,25,16.32904136,22.54991781,17.43275921,1,1,0,1,0,0,1
65.38520881,56.22842583,90.94400847,84.40206619,82.68469284,36.75434685,19.70135612,8.248887023,17.10682818,25,20.11953102,16.04856709,11.32739302,0,0,1,1,1,1,0
70.92776491,64.35087763,94.56072134,71.23869582,83.71781039,7.534670711,12.39516306,17.81464476,16.16389599,16.18274653,25,10.68270122,16.14803547,0,0,0,1,1,0,0
84.80790576,81.84604448,86.70582119,89.94602301,78.8296168,24.56317214,10.17923206,24.31509282,24.79741452,15.97299047,13.49553153,25,9.954622492,0,1,1,0,1,1,0
84.71240892,76.48415776,82.66857878,83.98061116,75.66824888,34.6662587,25.64714495,19.79184959,21.5833586,20.47853157,13.26149151,18.64981348,11.94916265,0,0,1,0,0,1,0
86.00592978,83.72145693,72.31013934,89.62566222,74.4761925,33.30951071,18.43356206,21.33857034,21.2916146,18.37295674,18.71982803,25,25,0,1,0,1,1,1,1
85.94361822,73.51165459,84.5557953,94.25545368,69.89563719,30.60212842,27.70279692,15.07679098,21.11788696,14.44398805,17.20983212,25,23.47361436,0,1,0,1,0,0,1
94.18814612,71.52484903,74.25360439,76.78424634,79.32658835,16.83604851,12.98842603,13.28063502,18.04095737,11.62324425,25,16.7254579,15.80434697,1,1,0,0,1,0,0
76.19371171,50.45148963,81.07673271,80.295047,84.71643376,18.25314911,9.518556224,12.79440166,16.76361149,19.49673993,25,19.89564305,15.9899526,0,0,1,1,1,0,0
78.79061576,78.93870157,77.34521298,67.70778745,77.3613111,33.92636703,14.52941935,15.00153881,7.271972782,11.67554158,14.70980193,9.132720475,17.18400102,0,0,0,0,0,1,0
74.33176558,92.24136119,81.73256382,70.28667133,77.91656667,30.49290432,15.14113136,20.96936394,16.91838661,22.66826041,18.92084249,16.44612171,12.62083402,1,0,1,0,0,1,0
79.53605137,55.22825937,70.67398789,77.50107297,78.67554679,43.330749,9.905614722,9.347465899,19.98068964,7.993933108,7.923708408,9.136072214,14.90980591,0,0,0,0,0,0,0
85.57358442,80.91378986,76.90662381,83.3736899,78.75070606,39.33855591,8.348880207,19.18875985,6.164677312,7.831784341,19.59623219,21.83913241,12.10962981,0,1,1,1,1,0,1
82.37826977,87.16971256,88.2776366,71.91041813,77.3829894,35.59922321,29.42633602,10.93231298,21.56314606,24.4830086,25,24.10726418,23.99906702,1,1,1,1,0,0,1
83.35625798,82.26298352,89.07874793,84.14198787,78.51134723,34.78874944,24.88862634,11.55560174,18.07144393,5.626723848,25,25,20.22573511,0,0,0,1,1,0,0
86.41608635,73.91013496,94.88886801,76.39723847,83.65010484,37.48674752,13.09870534,19.95346935,16.88611907,21.67130182,15.31425868,13.74509914,18.04146621,0,0,0,0,1,1,1
79.83105116,64.66759932,79.07052434,84.22963777,78.58519392,24.77158164,22.06695193,8.825841463,20.18041398,16.97335625,18.82914653,13.35977602,19.96349001,0,0,0,0,1,0,0
94.40902149,78.3807334,81.11666656,73.62142149,76.48370415,28.51136455,8.580288875,17.40559459,21.10185031,18.89076918,16.91312365,7.286878949,24.6937976,0,1,0,0,1,0,0
84.41455337,64.51267189,91.44710824,77.17091777,81.01358378,43.37163011,30,13.90232392,15.60117883,17.49721465,17.50236564,18.02892553,12.87064714,0,0,0,1,0,0,0
